IncidntNum,Category,Date
2009,LARCENY/THEFT,06/2011
64,STOLEN PROPERTY,06/2011
564,VANDALISM,06/2011
348,VEHICLE THEFT,06/2011
20,ARSON,07/2011
370,BURGLARY,07/2011
2085,LARCENY/THEFT,07/2011
44,STOLEN PROPERTY,07/2011
590,VANDALISM,07/2011
274,VEHICLE THEFT,07/2011
17,ARSON,08/2011
459,BURGLARY,08/2011
2130,LARCENY/THEFT,08/2011
80,STOLEN PROPERTY,08/2011
554,VANDALISM,08/2011
370,VEHICLE THEFT,08/2011
17,ARSON,09/2011
465,BURGLARY,09/2011
2058,LARCENY/THEFT,09/2011
65,STOLEN PROPERTY,09/2011
507,VANDALISM,09/2011
453,VEHICLE THEFT,09/2011
14,ARSON,10/2011
416,BURGLARY,10/2011
2307,LARCENY/THEFT,10/2011
63,STOLEN PROPERTY,10/2011
588,VANDALISM,10/2011
510,VEHICLE THEFT,10/2011
17,ARSON,11/2011
472,BURGLARY,11/2011
2219,LARCENY/THEFT,11/2011
72,STOLEN PROPERTY,11/2011
534,VANDALISM,11/2011
451,VEHICLE THEFT,11/2011
12,ARSON,12/2011
475,BURGLARY,12/2011
2404,LARCENY/THEFT,12/2011
59,STOLEN PROPERTY,12/2011
620,VANDALISM,12/2011
499,VEHICLE THEFT,12/2011
28,ARSON,01/2012
464,BURGLARY,01/2012
2187,LARCENY/THEFT,01/2012
72,STOLEN PROPERTY,01/2012
589,VANDALISM,01/2012
428,VEHICLE THEFT,01/2012
16,ARSON,02/2012
453,BURGLARY,02/2012
2086,LARCENY/THEFT,02/2012
68,STOLEN PROPERTY,02/2012
593,VANDALISM,02/2012
473,VEHICLE THEFT,02/2012
11,ARSON,03/2012
473,BURGLARY,03/2012
2098,LARCENY/THEFT,03/2012
64,STOLEN PROPERTY,03/2012
634,VANDALISM,03/2012
451,VEHICLE THEFT,03/2012
17,ARSON,04/2012
531,BURGLARY,04/2012
2311,LARCENY/THEFT,04/2012
57,STOLEN PROPERTY,04/2012
649,VANDALISM,04/2012
470,VEHICLE THEFT,04/2012
17,ARSON,05/2012
521,BURGLARY,05/2012
2537,LARCENY/THEFT,05/2012
89,STOLEN PROPERTY,05/2012
601,VANDALISM,05/2012
455,VEHICLE THEFT,05/2012
21,ARSON,06/2012
493,BURGLARY,06/2012
2490,LARCENY/THEFT,06/2012
57,STOLEN PROPERTY,06/2012
611,VANDALISM,06/2012
496,VEHICLE THEFT,06/2012
25,ARSON,07/2012
519,BURGLARY,07/2012
2550,LARCENY/THEFT,07/2012
71,STOLEN PROPERTY,07/2012
666,VANDALISM,07/2012
600,VEHICLE THEFT,07/2012
17,ARSON,08/2012
544,BURGLARY,08/2012
2840,LARCENY/THEFT,08/2012
80,STOLEN PROPERTY,08/2012
656,VANDALISM,08/2012
573,VEHICLE THEFT,08/2012
25,ARSON,09/2012
477,BURGLARY,09/2012
2958,LARCENY/THEFT,09/2012
86,STOLEN PROPERTY,09/2012
680,VANDALISM,09/2012
547,VEHICLE THEFT,09/2012
18,ARSON,10/2012
592,BURGLARY,10/2012
3128,LARCENY/THEFT,10/2012
72,STOLEN PROPERTY,10/2012
798,VANDALISM,10/2012
551,VEHICLE THEFT,10/2012
17,ARSON,11/2012
581,BURGLARY,11/2012
2847,LARCENY/THEFT,11/2012
87,STOLEN PROPERTY,11/2012
636,VANDALISM,11/2012
578,VEHICLE THEFT,11/2012
19,ARSON,12/2012
549,BURGLARY,12/2012
2728,LARCENY/THEFT,12/2012
75,STOLEN PROPERTY,12/2012
591,VANDALISM,12/2012
552,VEHICLE THEFT,12/2012
37,ARSON,01/2013
505,BURGLARY,01/2013
2916,LARCENY/THEFT,01/2013
98,STOLEN PROPERTY,01/2013
557,VANDALISM,01/2013
522,VEHICLE THEFT,01/2013
23,ARSON,02/2013
436,BURGLARY,02/2013
2656,LARCENY/THEFT,02/2013
76,STOLEN PROPERTY,02/2013
519,VANDALISM,02/2013
470,VEHICLE THEFT,02/2013
22,ARSON,03/2013
513,BURGLARY,03/2013
2846,LARCENY/THEFT,03/2013
86,STOLEN PROPERTY,03/2013
651,VANDALISM,03/2013
454,VEHICLE THEFT,03/2013
10,ARSON,04/2013
537,BURGLARY,04/2013
2883,LARCENY/THEFT,04/2013
95,STOLEN PROPERTY,04/2013
598,VANDALISM,04/2013
440,VEHICLE THEFT,04/2013
18,ARSON,05/2013
504,BURGLARY,05/2013
2690,LARCENY/THEFT,05/2013
91,STOLEN PROPERTY,05/2013
503,VANDALISM,05/2013
503,VEHICLE THEFT,05/2013
19,ARSON,06/2013
484,BURGLARY,06/2013
2701,LARCENY/THEFT,06/2013
86,STOLEN PROPERTY,06/2013
552,VANDALISM,06/2013
513,VEHICLE THEFT,06/2013
25,ARSON,07/2013
532,BURGLARY,07/2013
3302,LARCENY/THEFT,07/2013
102,STOLEN PROPERTY,07/2013
592,VANDALISM,07/2013
495,VEHICLE THEFT,07/2013
17,ARSON,08/2013
532,BURGLARY,08/2013
3468,LARCENY/THEFT,08/2013
123,STOLEN PROPERTY,08/2013
555,VANDALISM,08/2013
583,VEHICLE THEFT,08/2013
19,ARSON,09/2013
568,BURGLARY,09/2013
3590,LARCENY/THEFT,09/2013
115,STOLEN PROPERTY,09/2013
623,VANDALISM,09/2013
698,VEHICLE THEFT,09/2013
21,ARSON,10/2013
522,BURGLARY,10/2013
3359,LARCENY/THEFT,10/2013
119,STOLEN PROPERTY,10/2013
580,VANDALISM,10/2013
567,VEHICLE THEFT,10/2013
24,ARSON,11/2013
514,BURGLARY,11/2013
3017,LARCENY/THEFT,11/2013
83,STOLEN PROPERTY,11/2013
509,VANDALISM,11/2013
453,VEHICLE THEFT,11/2013
10,ARSON,12/2013
